SystematicID,Gene,Product,S.cerevisiae_ortholog,Human_ortholog,RG_CLS,Validated/Group,ValidationCLS
SPAC24B11.13,hem3,hydroxymethylbilane synthase Hem3 (predicted),HEM3,HMBS,NA,no,
SPAC24C9.05c,mug70,"CBS and PB1 domain protein, conserved in fungi and plants, implicated in signalling Mug70",,,NA,no,
SPAC24C9.07c,bgs2,"spore wall 1,3-beta-glucan synthase catalytic subunit Bgs2","GSC2,FKS1,FKS3",,NA,no,
SPAC24C9.08,cps1,vacuolar carboxypeptidase (predicted),CPS1,PM20D1,NA,no,
SPAC24C9.12c,shm1,serine hydroxymethyltransferase Shm1 (predicted),SHM2,"SHMT1,SHMT2",short,no,
SPAC24C9.14,otu1,"ubiquitin-specific cysteine protease, OTU family, Otu1",OTU1,YOD1,NA,no,
SPAC24C9.16c,cox8,cytochrome c oxidase subunit VIII (predicted),COX8,COX7C,NA,no,
SPAC24H6.02c,tim15,TIM23 translocase complex subunit Tim15 (predicted),ZIM17,DNLZ,NA,no,
SPAC24H6.03,cul3,cullin 3,CUL3,CUL3,NA,no,
SPAC24H6.04,hxk1,hexokinase 1,"HXK1,HXK2","GCK,HK1,HK2,HK3",NA,no,
SPAC24H6.07,rps901,40S ribosomal protein S9,"RPS9B,RPS9A",RPS9,NA,no,
SPAC24H6.08,,Schizosaccharomyces specific protein,,,NA,no,
SPAC24H6.09,gef1,Cdc42 RhoGEF Gef1,,,NA,no,
SPAC24H6.10c,,phospho-2-dehydro-3-deoxyheptonate aldolase (predicted),"ARO4,ARO3",,NA,no,
SPAC24H6.11c,,sulfate transmembrane transporter (predicted),YGR125W,,NA,no,
SPAC24H6.13,,calcium permeable stress-gated cation channel (predicted),PHM7,"TMEM63B,TMEM63C,TMEM63A",NA,no,
SPAC25A8.01c,fft3,SMARCAD1 family ATP-dependent DNA helicase Fft3,FUN30,SMARCAD1,NA,no,
SPAC25A8.02,atg14,autophagy associated protein Atg14,ATG14,ATG14,NA,no,
SPAC25A8.03c,,"mitochondrial arginine methyltransferase, human NDUFAF7 ortholog (predicted)",YKL162C,NDUFAF7,NA,no,
SPAC25B8.01,dap1,cytochrome P450 regulator Dap1,DAP1,"PGRMC2,PGRMC1",NA,no,
SPAC25B8.05,deg1,tRNA-pseudouridine synthase Deg1 (predicted),DEG1,PUS3,short,no,
SPAC25B8.07c,rcf1,cytochrome c oxidase assembly protein Rcf1,RCF1,"HIGD1B,HIGD2B,HIGD1C,HIGD2A,HIGD1A",NA,no,
SPAC25B8.08,,"Golgi Ras-interacting protein with DIL domain, human RADIL and RASIP1 ortholog (predicted), implicated in vesicle-mediated transport",YPR089W,"RADIL,RASIP1",NA,no,
SPAC25B8.09,,trans-aconitate 3-methyltransferase (predicted),"TMT1,CRG1",,NA,no,
SPAC25B8.10,,trans-aconitate 3-methyltransferase (predicted),"TMT1,CRG1",,NA,no,
SPAC25B8.11,,transcription factor (predicted),DAL81,,NA,no,
SPAC25B8.13c,isp7,2-OG-Fe(II) oxygenase superfamily protein,,,short,no,
SPAC25B8.15c,tyw3,wybutosine biosynthesis protein Tyw3 (predicted),TYW3,TYW3,NA,no,
SPAC25B8.17,ypf1,intramembrane aspartyl protease of the perinuclear ER membrane Ypf1 (predicted),YPF1,HM13,NA,no,
SPAC25B8.18,,mitochondrial thioredoxin-related protein (predicted),FMP46,,NA,no,
SPAC25B8.19c,loz1,transcription factor zf-C2H2 type,,,NA,no,
SPAC25G10.01,,RNA-binding protein involved in histone acetylation,,TRRAP,NA,no,
SPAC25G10.02,cce1,mitochondrial cruciform-cutting endonuclease Cce1,CCE1,,NA,no,
SPAC25G10.03,zip1,transcription factor Zip1,"MET28,MET4",,short,no,
SPAC25G10.05c,his1,ATP phosphoribosyltransferase,HIS1,,NA,no,
SPAC25G10.06,rps2801,40S ribosomal protein S28 (predicted),"RPS28B,RPS28A",RPS28,short,no,
SPAC25G10.09c,pan1,"actin cortical patch component, with EF hand and WH2 motif Panl (predicted)",PAN1,"ITSN1,ITSN2",NA,no,
SPAC25H1.02,jmj1,histone demethylase Jmj1 (predicted),,JMJD4,NA,no,
SPAC25H1.03,atg101,autophagy associated HORMA domain protein Atg101,,ATG101,NA,no,
SPAC25H1.04,mug105,K48-linkage specific deubiquitinase,,ZUP1,NA,no,
SPAC25H1.05,meu29,calcium transport regulatory factor (predicted),,SARAF,short,no,
SPAC25H1.06,pcf3,"CAF assembly factor (CAF-1) complex subunit C, Pcf3",MSI1,"RBBP4,RBBP7",NA,no,
SPAC25H1.07,emc1,ER membrane protein complex subunit Emc1 (predicted),EMC1,EMC1,short,no,
SPAC25H1.09,mde5,alpha-amylase homolog Mde5,,,NA,no,
SPAC26A3.01,sxa1,aspartic protease Sxa1,"MKC7,YPS7,YPS6,YPS1,YPS3",,NA,no,
SPAC26A3.02,myh1,adenine DNA glycosylase Myh1,,MUTYH,NA,no,
SPAC26A3.04,rpl2002,60S ribosomal protein L20 (predicted),"RPL20A,RPL20B",RPL18A,short,no,
SPAC26A3.06,bud23,rRNA (guanine-N7-)-methyltransferase Bud23 (predicted),BUD23,BUD23,NA,no,
SPAC26A3.07c,rpl1101,60S ribosomal protein L11 (predicted),"RPL11B,RPL11A",RPL11,short,no,
SPAC26A3.09c,rga2,"RhoGAP, GTPase activating protein Rga2",BEM3,"CHN1,CHN2",long,no,
SPAC26A3.10,cnt6,centaurin ADP ribosylation factor GTPase activating protein family (predicted),,"ACAP1,ACAP2,ACAP3",NA,no,
SPAC26A3.11,,mitochondrial omega-amidase (predicted),NIT3,NIT2,NA,no,
SPAC26A3.14c,,DUF1748 family protein,YIL156W-B,,NA,no,
SPAC26A3.16,dsk2,UBA domain protein Dph1/Dsk2,DSK2,"UBQLN4,UBQLN1,UBQLN2,UBQLN3",NA,no,
SPAC26A3.17c,rmt2,N-methyltransferase (predicted),RMT2,GAMT,NA,no,
SPAC26F1.01,sec74,guanyl-nucleotide exchange factor Sec74 (predicted),SYT1,DAPP1,NA,no,
SPAC26F1.02,pnn1,"splicing factor, pinin ortholog Pnn1",,PNN,NA,no,
SPAC26F1.03,pda1,pyruvate dehydrogenase e1 component alpha subunit Pda1 (predicted),PDA1,"PDHA1,PDHA2",NA,no,
SPAC26F1.04c,etr1,enoyl-[acyl-carrier protein] reductase (predicted),ETR1,MECR,short,no,
SPAC26F1.05,mug106,Schizosaccharomyces pombe specific protein Mug106,,,NA,no,
SPAC26F1.07,,glucose 1-dehydrogenase (NADP+) (predicted),"YPR1,GCY1",,NA,no,
SPAC26F1.08c,,malate transmembrane transporter (predicted),BRE4,,NA,no,
SPAC26F1.09,gyp51,GTPase activating protein Gyp51 (predicted),"GYL1,GYP5","TBC1D1,RABGAP1,TBC1D4,RABGAP1L,EVI5L,EVI5",short,no,
SPAC26F1.10c,pyp1,tyrosine phosphatase Pyp1,"PTP3,PTP2","PTPN1,PTPN2",long,yes:Bar_seqLong_ctr,long
SPAC26F1.12c,hgh1,"Armadillo-type fold protein, human HGH1 ortholog, implicated in ribosome biogenesis",HGH1,HGH1,NA,no,
SPAC26F1.14c,aif1,"mitochondrial inner membrane anchored oxidoreductase, apoptosis-inducing factor homolog Aif1 (predicted)",AIF1,"AIFM3,AIFM1",NA,no,
SPAC26H5.02c,mgs1,DNA replication ATPase Mgs1 (predicted),MGS1,WRNIP1,NA,no,
SPAC26H5.03,pcf2,"CAF assembly factor (CAF-1) complex subunit B, Pcf2",CAC2,CHAF1B,NA,no,
SPAC26H5.04,gid5,GID complex armadillo repeat subunit Gid5 (predicted),VID28,ARMC8,NA,no,
SPAC26H5.05,mga2,IPT/TIG ankyrin repeat gene-specific transcription coactivator Mga2,"MGA2,SPT23",,short,no,
SPAC26H5.07c,,seven transmembrane receptor protein (predicted),"YHL017W,PTM1","TMEM87A,TMEM87B",short,yes:Bar_seqShort,short
SPAC26H5.08c,bgl2,glucan beta-glucosidase Bgl2 (predicted),BGL2,,NA,no,
SPAC26H5.09c,,oxidoreductase involved in NADPH regeneration (predicted),YMR315W,"GFOD1,GFOD2",NA,no,
SPAC26H5.10c,tif51,translation elongation and termination factor eIF5A (predicted),"HYP2,ANB1","EIF5A,EIF5A2",NA,no,
SPAC27D7.02c,grp1,Golgi GRIP domain protein Grp1 (predicted),IMH1,,NA,no,
SPAC27D7.03c,mei2,RNA-binding protein involved in meiosis Mei2,,,NA,no,
SPAC27D7.04,omt2,4-alpha-hydroxytetrahydrobiopterin dehydratase (predicted),YHL018W,"PCBD2,PCBD1",NA,no,
SPAC27D7.05c,apc14,anaphase-promoting complex subunit Apc14,,,NA,no,
SPAC27D7.06,etf1,electron transfer flavoprotein alpha subunit EtfA (predicted),AIM45,ETFA,NA,no,
SPAC27D7.08c,mtl16,23S rRNA/U6 snRNA (adenine-N(6))-methyltransferase Mtl16,,METTL16,short,no,
SPAC27D7.11c,,"But2 family protein, similar to cell surface molecules",,,NA,no,
SPAC27D7.12c,but1,thioredoxin family protein But1,,,NA,no,
SPAC27D7.13c,ssm4,"dynactin microtubule-binding subunit, p150-Glued Ssm4",NIP100,"DCTN1,DCTN2,DCTN3",NA,no,
SPAC27D7.14c,tpr1,RNA polymerase II associated Paf1 complex subunit Tpr1,CTR9,CTR9,short,no,
SPAC27E2.01,,alpha-amylase homolog (predicted),,,NA,no,
SPAC27E2.02,yih1,"IMPACT homolog, cytoplasmic translational regulator Yih1 (predicted)","YIH1,YDL177C",IMPACT,long,no,
SPAC27E2.03c,,"Obg-like ATPase, human OLA1 ortholog (predicted)",OLA1,OLA1,long,no,
SPAC27E2.07,pvg2,"Golgi 4,6-pyruvylated galactose (PvGal) residue biosynthesis protein Pvg2",,,NA,no,
SPAC27E2.11c,,Schizosaccharomyces specific protein,,,NA,no,
SPAC27F1.03c,uch1,ubiquitin C-terminal hydrolase Uch1,YUH1,UCHL3,NA,no,
SPAC27F1.05c,,"aminotransferase class-III, unknown specificty",,,NA,no,
SPAC27F1.06c,ani2,CENP-A amino terminus domain (NTD) isomerase Ani2,"FPR4,FPR3",,NA,no,
SPAC27F1.08,pdt1,Nramp family manganese ion transmembrane transporter,"SMF2,SMF3,SMF1","SLC11A1,SLC11A2",NA,no,
SPAC27F1.10,,Schizosaccharomyces pombe specific protein,,,NA,no,
SPAC29A4.02c,,translation elongation factor EF-1 gamma subunit,"YGR201C,TEF4,CAM1","EEF1E1,EEF1G",NA,no,
SPAC29A4.05,cam2,myosin I light chain Cam2,,"CALM1,CALM2,CALM3,CALML3,CALML5,CALML4",NA,no,
SPAC29A4.09,,rRNA exonuclease Rrp17 (predicted),RRP17,NOL12,short,no,
SPAC29A4.11,rga3,"RhoGAP, GTPase activating protein Rga3","RGA2,RGA1","CHN1,CHN2",NA,no,
SPAC29A4.13,ure6,urease accessory protein UreF,,,NA,no,
SPAC29A4.14c,pex3,peroxin-3 peroxisome import protein Pex3 (predicted),PEX3,PEX3,NA,no,
SPAC29A4.16,hal4,serine/threonine protein kinase Hal4,SAT4,,NA,no,
SPAC29A4.17c,,mitochondrial FUN14 family protein involved in mitophagy,FUN14,"FUNDC2,FUNDC1",NA,no,
SPAC29A4.19c,cta5,Ca2+/Mn2+ transporting P-type ATPase P5 type Cta5,YPK9,"ATP13A3,ATP13A2,ATP13A5",NA,no,
SPAC29A4.20,elp3,elongator complex subunit Elp3,ELP3,ELP3,short,no,
SPAC29B12.02c,set2,histone lysine H3-K36 methyltransferase Set2,SET2,SETD2,NA,no,
SPAC29B12.03,spd1,ribonucleotide reductase (RNR) inhibitor,DIF1,,NA,no,
SPAC29B12.04,snz1,pyridoxine biosynthesis protein,"SNZ3,SNZ1,SNZ2",,short,no,
SPAC29B12.05c,mtq1,mitochondrial N(5)-glutamine methyltransferase (predicted),MTQ1,HEMK1,NA,no,
SPAC29B12.06c,rcd1,CCR4-Not complex RNA-binding protein subunit Rcd1,CAF40,CNOT9,NA,no,
SPAC29B12.08,clr5,Clr5 protein,,,NA,no,
SPAC29B12.10c,pgt1,plasma membrane glutathione transmembrane transporter Pgt1,"OPT1,OPT2",,NA,no,
SPAC29B12.11c,,human WW domain binding protein-2 ortholog,,"WBP2,WBP2NL",NA,no,
SPAC29B12.12,hot13,helper of TIM Hot13 (predicted),HOT13,RCHY1,NA,no,
SPAC29B12.13,,S-(hydroxymethyl)glutathione synthase activity (predicted),,,NA,no,
SPAC29B12.14c,,plasma membrane purine transmembrane transporter (predicted),"FUI1,FUR4,DAL4",,NA,no,
SPAC29E6.01,pof11,F-box/WD repeat protein Pof11,,"BTRC,FBXW11",NA,no,
SPAC29E6.05c,mxr1,peptide-methionine (S)-S-oxide reductase MsrA,MXR1,MSRA,NA,no,
SPAC29E6.07,,"Schizosaccharomyces pombe specific protein, expressed during meiotic cell cycle",,,NA,no,
SPAC29E6.09,,Schizosaccharomyces specific protein,,,NA,no,
SPAC29E6.10c,nst1,conserved fungal NST1 family protein,NST1,,NA,no,
SPAC2C4.05,cor1,cornichon family protein (predicted),"ERV15,ERV14","CNIH1,CNIH4,CNIH3,CNIH2",NA,no,
SPAC2C4.06c,rcm1,tRNA (cytosine-5-)-methyltransferase Rcm1 (predicted),RCM1,NSUN5,NA,no,
SPAC2C4.07c,dis32,3'-5'-exoribonuclease activity Dis3L2,,DIS3L2,NA,no,
SPAC2C4.08,,conserved fungal protein,"GFD2,YDR514C",,long,no,
SPAC2C4.09,,mitochondrial calcium uniporter regulator (predicted),FMP32,"MCUR1,CCDC90B",NA,no,
SPAC2C4.10c,csc4,"SIP/FAR complex subunit, Csc4",,,NA,no,
SPAC2C4.14c,ppk11,PAK-related GC kinase Ppk11,SPS1,"STK24,STK25,STK26",NA,no,
SPAC2C4.15c,ubx2,UBX domain protein Ubx2,UBX5,UBXN7,NA,no,
SPAC2C4.16c,rps801,40S ribosomal protein S8 (predicted),"RPS8A,RPS8B",RPS8,NA,no,
SPAC2C4.17c,msy2,MS ion channel protein 2 (predicted),,,NA,no,
SPAC2E12.03c,,plasma membrane basic amino acid transmembrane transporter (predicted),"RTC2,YDR090C,YPQ2,YPQ1",SLC66A1,NA,no,
SPAC2E1P3.01,,dehydrogenase (predicted),"YCR102C,YLR460C,YNL134C",,NA,no,
SPAC2E1P3.02c,amt3,plasma membrane ammonium transmembrane transporter Amt3,"MEP1,MEP3","RHAG,RHCE,RHD,RHBG,RHCG",NA,no,
SPAC2E1P3.04,cao1,copper amine oxidase Cao1,,"AOC2,AOC3,AOC1",NA,no,
SPAC2E1P3.05c,,fungal cellulose binding domain protein,,,NA,no,
SPAC2E1P5.01c,mns1,"mannosyl-oligosaccharide 1,2-alpha-mannosidase",MNS1,MAN1B1,NA,no,
SPAC2E1P5.02c,mug109,Rab GTPase binding protein upregulated in meiosis II (predicted),,,NA,no,
SPAC2E1P5.03,erj5,endoplasmic reticulum DNAJ domain protein Erj5 (predicted),ERJ5,DNAJC1,NA,no,
SPAC2F3.01,imt1,mannosyltransferase Imt1,"CSH1,SUR1",,NA,no,
SPAC2F3.02,,ER protein translocation subcomplex subunit (predicted),SEC72,,long,no,
SPAC2F3.05c,,xylose and arabinose reductase (predicted),YJR096W,,NA,no,
SPAC2F3.07c,,Schizosaccharomyces pombe specific protein,,,NA,no,
SPAC2F3.08,sut1,plasma membrane sucrose/maltose:proton symporter Sut1,,"SLC45A2,SLC45A3",NA,no,
SPAC2F3.12c,plp1,thioredoxin fold protein Plp1 (predicted),PLP1,TXNDC9,NA,no,
SPAC2F3.15,lsk1,P-TEFb-associated cyclin-dependent protein kinase Lsk1,CTK1,"CDK13,CDK12",short,no,
SPAC2F3.16,,"ubiquitin-protein ligase E3, implicated in DNA repair (predicted)",,RCHY1,NA,no,
SPAC2F3.18c,,small endoribonuclease with 2 transmembrane domains (predicted),YPR170W-B,RNASEK,NA,no,
SPAC2F7.02c,psr1,CTD small phosphatase Psr1 (predicted),"PSR1,PSR2","CTDSPL,CTDSP2,CTDSP1",NA,no,
SPAC2F7.03c,pom1,DYRK family cell polarity protein kinase Pom1,YAK1,"DYRK2,DYRK3,DYRK4",long,no,
SPAC2F7.04,med1,mediator complex subunit Med1,MED1,MED1,long,no,
SPAC2F7.06c,pol4,DNA polymerase X family,POL4,"DNTT,POLM",NA,no,
SPAC2F7.07c,cph2,Clr6 histone deacetylase associated PHD protein Cph2,RCO1,PHF12,short,no,
SPAC2F7.08c,snf5,SWI/SNF complex subunit Snf5,SNF5,SMARCB1,NA,no,
SPAC2F7.09c,gep3,mitochondrial GTPase related protein Gep3 (prediected),GEP3,NOA1,NA,no,
SPAC2F7.10,akr1,palmitoyltransferase Akr1 (predicted),"AKR1,AKR2","ZDHHC17,ZDHHC13",NA,no,
SPAC2F7.17,mrf1,mitochondrial translation release factor (predicted),MRF1,"MTRF1L,MTRF1",short,no,
SPAC2G11.03c,vps45,vacuolar sorting protein Vps45,VPS45,VPS45,NA,no,
SPAC2G11.04,,"RNA-binding protein, G-patch type, splicing factor 45 ortholog (predicted)",,RBM17,NA,no,
SPAC2G11.05c,rim20,BRO1 domain protein Rim20,RIM20,PDCD6IP,NA,no,
SPAC2G11.07c,ptc3,"MAP kinase threonine phosphatase, protein phosphatase 2c homolog Ptc3","PTC3,PTC2",PPM1G,long,no,
SPAC2G11.09,,calcium ion transmembrane transporter (predicted),CSC1,"TMEM63B,TMEM63C,TMEM63A",NA,no,
SPAC2G11.10c,uba42,"thiosulfate sulfurtransferase, URM1 activating enzyme E1-type Uba42 (predicted)",UBA4,MOCS3,NA,no,
SPAC2G11.12,rqh1,RecQ type DNA helicase Rqh1,SGS1,"BLM,WRN",short,no,
SPAC2G11.13,atg22,vacuolar amino acid transmembrane transporter Atg22,ATG22,"SLC16A1,SLC16A2,SLC16A3,SLC16A4,SLC16A5,SLC16A6,SLC16A7,SLC16A8,SLC16A10,SLC16A11,SLC16A12,SLC16A9,SLC16A14,SLC16A13",NA,no,
SPAC2G11.15c,tgs1,rRNA methyltransferase Tgs1,TGS1,TGS1,NA,no,
SPAC2H10.01,,"transcription factor, zf-fungal binuclear cluster type (predicted)",,,NA,no,
SPAC2H10.02c,nas2,26S proteasome regulatory particle assembly protein Nas2 (predicted),NAS2,PSMD9,long,no,
SPAC30.01c,sec72,"Sec7 domain protein, ARF GEF Sec72",SEC7,"ARFGEF1,ARFGEF2",short,no,
SPAC30.02c,kti12,elongator complex associated protein Kti12 (predicted),KTI12,KTI12,short,no,
SPAC30.03c,tsn1,translin,,TSN,NA,no,
SPAC30.04c,abc4,vacuolar phytochelatin and glutathione S-conjugate ABC family transmembrane transporter Abc4,"YCF1,YOR1,VMR1,BPT1,YBT1","ABCC1,ABCC2,ABCC3,ABCC6",NA,no,
SPAC30C2.04,asc1,cofactor for cytoplasmic methionyl-and glutamyl-tRNA synthetases Asc1 (predicted),ARC1,AIMP1,short,no,
SPAC30C2.05,erv14,cornichon family protein Erv14 (predicted),"ERV15,ERV14","CNIH1,CNIH4,CNIH3,CNIH2",NA,no,
SPAC30C2.06c,dml1,"mitochondrial inheritance GTPase, tubulin-like (predicted)",DML1,MSTO1,short,no,
SPAC30C2.07,lst4,Lst4-Lst7 complex subunit Lst4,LST4,"FNIP2,FNIP1",NA,no,
SPAC30C2.08,,UPF0662 family conserved fungal protein,CUB1,,NA,no,
SPAC30D11.01c,gto2,alpha-glucosidase (predicted),,"SI,GAA,MGAM",NA,no,
SPAC30D11.02c,,Schizosaccharomyces pombe specific protein,,,NA,no,
SPAC30D11.05,aps3,AP-3 adaptor complex subunit Aps3 (predicted),APS3,"AP3S1,AP3S2",NA,no,
SPAC30D11.06c,hfl1,organic solute transmembrane transporter (predicted),YKR051W,"TMEM184B,TMEM184C",NA,no,
SPAC30D11.07,nth1,DNA endonuclease III,"NTG1,NTG2",NTHL1,long,no,
SPAC30D11.09,cwf19,complexed with Cdc5 protein Cwf19,,"CWF19L1,CWF19L2",NA,no,
SPAC30D11.10,rad52,"DNA recombination protein, Rad51 mediator Rad52 (previously Rad22)",RAD52,RAD52,short,no,
SPAC30D11.11,izh3,ER membrane Haemolysin-III family protein involved in zinc homeostasis Izh3 (predicted),IZH3,PAQR3,NA,no,
SPAC30D11.12,rpl3802,60S ribosomal protein L38 (predicted),RPL38,RPL38,NA,no,
SPAC30D11.13,hus5,SUMO conjugating enzyme E2 Hus5,UBC9,UBE2I,short,no,
SPAC30D11.14c,,"KH domain RNA-binding protein, involved in splicing (predicted)",,KHDC4,NA,no,
SPAC31A2.06,atp25,mitochondrial polynucleotide adenylyltransferase Atp25 (predicted),ATP25,,short,no,
SPAC31A2.09c,apm4,AP-2 adaptor complex mu subunit Apm4 (predicted),APM4,AP2M1,NA,no,
SPAC31A2.11c,cuf1,nutritional copper sensing transcription factor Cuf1,"CUP2,MAC1,HAA1",,NA,no,
SPAC31A2.12,rod1,arrestin/PY protein involved in ubiquitin-mediated endocytosis Rod1 (predicted),"ROG3,ROD1","TXNIP,ARRDC2,ARRDC4,ARRDC1,ARRDC3",short,no,
SPAC31A2.13c,sft1,SNARE Sft1 (predicted),SFT1,"BET1,BET1L",short,no,
SPAC31A2.14,bun107,"WD repeat protein, human WDR48 family Bun107",DUF1,WDR48,NA,no,
SPAC31A2.15c,dcc1,Ctf18 RFC-like complex subunit Dcc1,DCC1,DSCC1,NA,no,
SPAC31A2.16,gef2,RhoGEF Gef2,,,NA,no,
SPAC31F12.01,zds1,zds family protein phosphatase type A regulator Zds1 (predicted),"ZDS2,ZDS1",,NA,no,
SPAC31G5.03,rps1101,40S ribosomal protein S11 (predicted),"RPS11B,RPS11A",RPS11,NA,no,
SPAC31G5.04,lys12,homoisocitrate dehydrogenase Lys12,LYS12,,NA,no,
SPAC31G5.07,dni1,"tetraspan protein, claudin Dni1",FIG1,,NA,no,
SPAC31G5.09c,spk1,MAP kinase Spk1,FUS3,"MAPK1,MAPK3",NA,no,
SPAC31G5.10,eta2,"Myb family protein, RNA polymerase I termination factor Eta2 (predicted)","REB1,NSI1",TTF1,NA,no,
SPAC31G5.11,pac2,cAMP-independent regulatory protein Pac2,"MIT1,YHR177W",,NA,no,
SPAC31G5.12c,maf1,repressor of RNA polymerase III Maf1,MAF1,MAF1,NA,no,
SPAC31G5.14,gcv1,glycine decarboxylase T subunit (predicted),GCV1,AMT,NA,no,
SPAC31G5.15,psd3,phosphatidylserine decarboxylase Psd3,PSD2,,NA,no,
SPAC31G5.18c,sde2,intron-specific pre-mRNA splicing-ubiquitin fusion protein Sde2,,SDE2,short,no,
SPAC31G5.19,abo1,ATPase with bromodomain protein,YTA7,"ATAD2B,ATAD2",short,no,
SPAC323.01c,pos5,mitochondrial NADH kinase Pos5 (predicted),POS5,NADK,short,no,
SPAC323.03c,,Schizosaccharomyces specific protein,,,short,no,
SPAC323.04,,mitochondrial ATPase (predicted),YDR061W,,NA,no,
SPAC323.05c,mtq2,eRF1 methyltransferase Mtq2 (predicted),MTQ2,N6AMT1,NA,no,
SPAC323.07c,,MatE family transmembrane transporter (predicted),"YDR338C,ERC1","SLC47A1,SLC47A2",NA,no,
SPAC328.01c,msn5,karyopherin/importin beta family nuclear import/export signal receptor (predicted),MSN5,XPO5,NA,no,
SPAC328.02,dbl4,ubiquitin-protein ligase E3 involved in sporulation Dbl4,HEL1,ARIH1,NA,no,
SPAC328.03,tps1,"alpha,alpha-trehalose-phosphate synthase [UDP-forming]",TPS1,,NA,no,
SPAC328.04,spg4,microtubule severing ATPase Spg4 (predicted),"SAP1,YTA6","SPAST,FIGNL1",NA,no,
SPAC328.05,hrb1,RNA-binding protein involved in export of mRNAs Hrb1 (predicted),"GBP2,HRB1","MYEF2,HNRNPM",NA,no,
SPAC328.06,ubp2,ubiquitin C-terminal hydrolase Ubp2,UBP2,,long,no,
SPAC328.07c,bsd1,human NEDD4 family-interacting protein ortholog (predicted),BSD2,"NDFIP1,NDFIP2",NA,no,
SPAC328.09,,"mitochondrial carrier, 2-oxoadipate/2-oxoglutarate (predicted)","ODC2,ODC1",SLC25A21,NA,no,
SPAC328.10c,rps502,40S ribosomal protein S5 (predicted),RPS5,RPS5,short,no,
SPAC32A11.01,mug8,"DUF1708 family conserved fungal protein, cell division site",MSB1,,NA,no,
SPAC32A11.02c,,DUF4449 family conserved fungal protein,,,NA,no,
SPAC32A11.03c,phx1,stationary phase-specific homeobox transcription factor Phx1,,,NA,no,
SPAC343.04c,gid7,GID complex subunit Gid7 (predicted),GID7,WDR26,NA,no,
SPAC343.06c,,mitochondrial phospholipid scramblase (predicted),AIM25,"PLSCR2,PLSCR4,PLSCR1",NA,no,
SPAC343.07,mug28,RNA-binding protein Mug28,,,NA,no,
SPAC343.09,ubx3,"UBX domain protein Ubx3, Cdc48 cofactor",SHP1,"NSFL1C,UBXN2B,UBXN2A",NA,no,
SPAC343.10,met11,methylenetetrahydrofolate reductase Met11,MET12,MTHFR,short,no,
SPAC343.11c,msc1,Swr1 complex subunit Msc1,,"KDM5C,KDM5D,KDM5B,KDM5A",long,no,
SPAC343.16,lys2,homoaconitate hydratase Lys2,LYS4,,short,no,
SPAC343.18,rfp2,SUMO-targeted ubiquitin-protein ligase subunit Rfp2,SLX5,"RFWD3,RNF180,RNF166",NA,no,
SPAC343.19,lsb6,1-phosphatidylinositol 4-kinase Lsb6 (predicted),LSB6,"PI4K2B,PI4K2A",NA,no,
SPAC343.20,,dubious,,,NA,no,
SPAC3A11.02,cps3,"zf-CCCH type zinc finger protein, unknown biological role Cps3, potential makorin ortholog",LEE1,,NA,no,
SPAC3A11.03,efm3,elongation factor EF2 methyltransferase Efm3 (predicted),EFM3,METTL23,NA,no,
SPAC3A11.04,sei1,"seipin, lipid droplet associated protein Sei1 (predicted)",SEI1,BSCL2,NA,no,
SPAC3A11.06,mvp1,sorting nexin Mvp1 (predicted),MVP1,SNX8,NA,no,
SPAC3A11.07,nde2,mitochondrial NADH dehydrogenase (ubiquinone) Nde2 (predicted),"NDE2,NDI1,NDE1",,NA,no,
SPAC3A11.08,pcu4,cullin 4,,"CUL4A,CUL4B",NA,no,
SPAC3A11.09,sod22,plasma membrane sodium ion/proton antiporter Sod22,NHA1,,NA,no,
SPAC3A11.10c,dpe1,"dipeptidyl peptidase, unknown specificity, implicated in glutathione metabolism (predicted)",,"DPEP2,DPEP3,DPEP1",NA,no,
SPAC3A11.11c,,"oxidoreductase, implicated in vitamin metabolism, or cellular detoxification (predicted)",YPR127W,"AKR7L,AKR7A2,AKR7A3",long,yes:Bar_seqUnexplored.L,long
SPAC3A11.13,gim1,"prefoldin subunit 6, Gim1 (predicted)",YKE2,PFDN6,long,no,
SPAC3A11.14c,pkl1,kinesin-14 family minus-end directed microtubule motor Pkl1,KAR3,KIFC1,NA,no,
SPAC3A12.03c,meu34,"ubiquitin-protein ligase E3 Meu34, human RNF13 family homolog, unknown biological role (predicted)",YBR062C,RNF13,NA,no,
SPAC3A12.06c,,sodium/calcium exchanger (predicted),"YDL206W,ECM27",SLC8B1,NA,no,
SPAC3A12.08,,acyl-coenzyme A thioesterase,FMP10,"THEM4,THEM5",NA,no,
SPAC3A12.09c,ure4,urease accessory protein UreD,,,NA,no,
SPAC3A12.10,rpl2001,60S ribosomal protein L20a (predicted),"RPL20A,RPL20B",RPL18A,long,no,
SPAC3A12.12,atp11,mitochondrial F1-FO ATP synthase chaperone Atp11 (predicted),ATP11,ATPAF1,short,no,
SPAC3A12.13c,hcr1,translation initiation factor eIF3j (p35),HCR1,EIF3J,short,no,
SPAC3A12.17c,cys12,cysteine synthase-like protein Cys12,MCY1,CBS,NA,no,
SPAC3C7.01c,sac12,inositol polyphosphate phosphatase (predicted),SAC1,SACM1L,NA,no,
SPAC3C7.02c,pil2,meiotic eisosome BAR domain protein Pil2,"PIL1,LSP1",,NA,no,
